FCID	Date	Machine	Read Type	Path
C0C81ACXX	02-08-2012	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/02-08-2012_HiSeq_ChIP_flowcellB_C0C81ACXX_SR.txt
HCFV7BCXX	11-23-2015	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/11-23-2015_HiSeq_ChIP_flowcellA_HCFV7BCXX_PE_Rapid.txt
HVVNMBCXX	10-05-2016	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/10-05-2016_HiSeq_ChIP_flowcellA_HVVNMBCXX_SR_Rapid.txt
312CNAAXX	03-31-2009	N/A	SR	/mnt/tscc/bil022/RenSix/txt/03-31-2009_Sarah_flowcell_312CNAAXX_SR.txt
61MV9AAXX	04-29-2010	N/A	SR	/mnt/tscc/bil022/RenSix/txt/04-29-2010_Sarah_flowcell_61MV9AAXX_SR.txt
H86MJADXX	12-13-2013	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/12-13-2013_HiSeq_ChIP_flowcellB_H86MJADXX_SR_Rapid.txt
C3L5BACXX	02-10-2014	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/02-10-2014_HiSeq_Fish_flowcellA_C3L5BACXX_PE.txt
H7KC3ADXX	11-19-2013	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/11-19-2013_HiSeq_ChIP_flowcellA_H7KC3ADXX_SR_Rapid.txt
70A5LAAXX	10-26-2011	N/A	SR	/mnt/tscc/bil022/RenSix/txt/10-26-2011_Sarah_flowcell_70A5LAAXX_SR.txt
C1PNFACXX	02-06-2013	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/02-06-2013_HiSeq_ChIP_flowcellA_C1PNFACXX_PE.txt
HJWNVBCXY	11-03-2017	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/11-03-2017_HiSeq_ChIP_flowcellA_HJWNVBCXY_SR_Rapid.txt
431RKAAXX	11-12-2009	N/A	SR	/mnt/tscc/bil022/RenSix/txt/11-12-2009_Sarah_flowcell_431RKAAXX_SR.txt
HK55LAFX2	12-02-2020	NextSeq550	PE	/mnt/tscc/bil022/RenSix/txt/12-02-2020_NextSeq550_flowcell_HK55LAFX2_PE_MidOutput.txt
HJ22MADXX	03-19-2015	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/03-19-2015_HiSeq_ChIP_flowcellA_HJ22MADXX_SR_Rapid.txt
D0CL6ACXX	12-13-2011	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/12-13-2011_HiSeq_flowcellA_D0CL6ACXX_SR.txt
HLFLKBCXX	08-30-2018	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/08-30-2018_HiSeq_ChIP_flowcellB_HLFLKBCXX_PE_Rapid.txt
D1989ACXX	08-27-2012	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/08-27-2012_HiSeq_Fish_flowcellA_D1989ACXX_PE.txt
431ALAAXX	10-30-2009	N/A	SR	/mnt/tscc/bil022/RenSix/txt/10-30-2009_Sarah_flowcell_431ALAAXX_SR.txt
C4JM5ACXX	04-02-2014	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/04-02-2014_HiSeq_Fish_flowcellA_C4JM5ACXX_SR.txt
630EEAAXX	12-20-2010	N/A	SR	/mnt/tscc/bil022/RenSix/txt/12-20-2010_Sarah_flowcell_630EEAAXX_SR.txt
HJTKMBBXX	05-18-2017	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/05-18-2017_HiSeq_DIP_flowcellA_HJTKMBBXX_SR.txt
HJF7VADXX	04-01-2015	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/04-01-2015_HiSeq_ChIP_flowcellA_HJF7VADXX_SR_Rapid.txt
61GL1AAXX	03-02-2010	N/A	SR	/mnt/tscc/bil022/RenSix/txt/03-02-2010_Peter_flowcell_61GL1AAXX_SR.txt
62275AAXX	06-09-2010	N/A	SR	/mnt/tscc/bil022/RenSix/txt/06-09-2010_Sarah_flowcell_62275AAXX_SR.txt
432KEAAXX	02-26-2010	N/A	SR	/mnt/tscc/bil022/RenSix/txt/02-26-2010_Sarah_flowcell_432KEAAXX_SR_Cleveland.txt
C004AABXX	03-04-2011	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/03-04-2011_HiSeq_flowcellA_C004AABXX_PE.txt
HYH22BCXX	10-10-2017	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/10-10-2017_HiSeq_ChIP_flowcellA_HYH22BCXX_PE_Rapid.txt
C0HFMACXX	03-14-2012	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/03-14-2012_HiSeq_ChIP_flowcellA_C0HFMACXX_PE.txt
C5RUKACXX	01-07-2015	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/01-07-2015_HiSeq_Fish_flowcellA_C5RUKACXX_SR.txt
HF2CHBBXX	06-22-2016	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/06-22-2016_HiSeq_DIP_flowcellB_HF2CHBBXX_PE.txt
C6TFRACXX	06-30-2015	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/06-30-2015_HiSeq_Fish_flowcellA_C6TFRACXX_SR.txt
HKLCCBCXX	08-09-2018	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/08-09-2018_HiSeq_ChIP_flowcellA_HKLCCBCXX_PE_Rapid.txt
HCFWFBCXX	12-01-2015	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/12-01-2015_HiSeq_ChIP_flowcellB_HCFWFBCXX_PE_Rapid.txt
42VL2AAXX	09-21-2009	N/A	SR	/mnt/tscc/bil022/RenSix/txt/09-21-2009_Sarah_flowcell_42VL2AAXX_SR.txt
HBCHAADXX	12-11-2014	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/12-11-2014_HiSeq_ChIP_flowcellB_HBCHAADXX_SR_Rapid.txt
HF2MHBBXX	06-06-2016	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/06-06-2016_HiSeq_DIP_flowcellA_HF2MHBBXX_PE.txt
61D4CAAXX	01-28-2010	N/A	SR	/mnt/tscc/bil022/RenSix/txt/01-28-2010_Peter_flowcell_61D4CAAXX_SR.txt
61GFYAAXX	03-31-2010	N/A	SR	/mnt/tscc/bil022/RenSix/txt/03-31-2010_Sarah_flowcell_61GFYAAXX_SR.txt
C1JG1ACXX	01-09-2013	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/01-09-2013_HiSeq_ChIP_flowcellA_C1JG1ACXX_PE.txt
C00V4ABXX	06-15-2011	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/06-15-2011_HiSeq_flowcellB_C00V4ABXX_SR.txt
H0GGRACXX	05-28-2013	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/05-28-2013_HiSeq_ChIP_flowcellA_H0GGRACXX_SR_Rapid.txt
42F57AAXX	07-24-2009	N/A	SR	/mnt/tscc/bil022/RenSix/txt/07-24-2009_Sarah_flowcell_42F57AAXX_SR.txt
61MVYAAXX	05-18-2010	N/A	SR	/mnt/tscc/bil022/RenSix/txt/05-18-2010_Peter_flowcell_61MVYAAXX_SR.txt
B08HKABXX	07-08-2011	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/07-08-2011_HiSeq_flowcellA_B08HKABXX_SR.txt
H9L5EADXX	09-18-2014	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/09-18-2014_HiSeq_ChIP_flowcellA_H9L5EADXX_SR_Rapid.txt
C2861ACXX	07-15-2013	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/07-15-2013_HiSeq_Fish_flowcellA_C2861ACXX_SR.txt
D09JLACXX	11-03-2011	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/11-03-2011_HiSeq_flowcellA_D09JLACXX_SR.txt
HMLW2ADXX	06-25-2015	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/06-25-2015_HiSeq_ChIP_flowcellB_HMLW2ADXX_PE_Rapid.txt
C00HYABXX	06-16-2011	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/06-16-2011_HiSeq_flowcellA_C00HYABXX_PE.txt
H5YWCBCXX	02-18-2016	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/02-18-2016_HiSeq_ChIP_flowcellA_H5YWCBCXX_PE_Rapid.txt
H5NCHBBXX	04-20-2016	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/04-20-2016_HiSeq_DIP_flowcellB_H5NCHBBXX_PE.txt
814H6ABXX	03-10-2011	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/03-10-2011_HiSeq_flowcellB_814H6ABXX_SR.txt
815EVAAXX	01-19-2011	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/01-19-2011_HiSeq_flowcellB_815EVAAXX_PE.txt
628RGAAXX	07-28-2010	N/A	SR	/mnt/tscc/bil022/RenSix/txt/07-28-2010_Peter_flowcell_628RGAAXX_SR.txt
D0TU5ACXX	04-05-2012	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/04-05-2012_HiSeq_Fish_flowcellB_D0TU5ACXX_SR.txt
AAAKFMLKM5	05-13-2020	NextSeq2000	PE	/mnt/tscc/bil022/RenSix/txt/05-13-2020_NextSeq2000_flowcell_AAAKFMLKM5_PE_P2.txt
42YJ3AAXX	10-01-2009	N/A	SR	/mnt/tscc/bil022/RenSix/txt/10-01-2009_Sarah_flowcell_42YJ3AAXX_SR.txt
HJGG7BCXX	06-26-2018	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/06-26-2018_HiSeq_ChIP_flowcellB_HJGG7BCXX_PE_Rapid.txt
B06V2ABXX	06-01-2011	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/06-01-2011_HiSeq_flowcellB_B06V2ABXX_SR.txt
HFJNCADXX	02-05-2015	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/02-05-2015_HiSeq_ChIP_flowcellB_HFJNCADXX_SR_Rapid.txt
HTKK5BCX2	12-18-2018	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/12-18-2018_HiSeq_ChIP_flowcellA_HTKK5BCX2_PE_Rapid.txt
8128KABXX	01-26-2011	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/01-26-2011_HiSeq_flowcellA_8128KABXX_SR.txt
D29P5ACXX	07-22-2013	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/07-22-2013_HiSeq_Fish_flowcellA_D29P5ACXX_SR.txt
HLLLGBCXY	10-09-2018	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/10-09-2018_HiSeq_ChIP_flowcellB_HLLLGBCXY_SR_Rapid.txt
H0AV1ACXX	05-02-2013	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/05-02-2013_HiSeq_ChIP_flowcellB_H0AV1ACXX_PE_Rapid.txt
HH77WBBXX	02-23-2017	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/02-23-2017_HiSeq_DIP_flowcellA_HH77WBBXX_SR.txt
HC535BCXY	12-11-2019	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/12-11-2019_HiSeq_ChIP_flowcellA_HC535BCXY_SR_Rapid.txt
D25D2ACXX	06-27-2013	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/06-27-2013_HiSeq_Fish_flowcellB_D25D2ACXX_SR.txt
H72MKBGXF	02-27-2020	NextSeq550	PE	/mnt/tscc/bil022/RenSix/txt/02-27-2020_NextSeq550_flowcell_H72MKBGXF_PE_HighOutput.txt
C0THNACXX	06-28-2012	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/06-28-2012_HiSeq_Fish_flowcellA_C0THNACXX_SR.txt
H3W2HBBXX	12-21-2015	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/12-21-2015_HiSeq_Dip_flowcellB_H3W2HBBXX_PE.txt
ACXX	06-10-2014	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/06-10-2014_HiSeq_Fish_flowcellB_ACXX_SR.txt
C20LKACXX	03-28-2013	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/03-28-2013_HiSeq_Fish_flowcellA_C20LKACXX_SR.txt
64PAUAAXX	08-19-2011	N/A	SR	/mnt/tscc/bil022/RenSix/txt/08-19-2011_Sarah_flowcell_64PAUAAXX_SR.txt
H95CJADXX	05-01-2014	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/05-01-2014_HiSeq_ChIP_flowcellA_H95CJADXX_SR_Rapid.txt
HAM1BADXX	12-09-2014	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/12-09-2014_HiSeq_ChIP_flowcellA_HAM1BADXX_SR_Rapid.txt
HFV5KADXX	02-03-2015	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/02-03-2015_HiSeq_ChIP_flowcellB_HFV5KADXX_SR_Rapid.txt
C30VWABXX	08-18-2011	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/08-18-2011_HiSeq_flowcellA_C30VWABXX_SR.txt
81BVBAAXX	02-15-2011	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/02-15-2011_HiSeq_flowcellA_81BVBAAXX_PE.txt
C68W3ACXX	03-24-2015	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/03-24-2015_HiSeq_Fish_flowcellA_C68W3ACXX_PE.txt
D0YRDACXX	05-15-2012	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/05-15-2012_HiSeq_ChIP_flowcellB_D0YRDACXX_SR.txt
209C0ABXX	08-20-2010	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/08-20-2010_HiSeq_flowcellB_209C0ABXX_SR.txt
D27YBACXX	05-17-2013	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/05-17-2013_HiSeq_Fish_flowcellA_D27YBACXX_SR.txt
C0C83ACXX	01-30-2012	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/01-30-2012_HiSeq_ChIP_flowcellA_C0C83ACXX_SR.txt
HJ55CBCXX	05-24-2018	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/05-24-2018_HiSeq_ChIP_flowcellB_HJ55CBCXX_PE_Rapid.txt
61L50AAXX	11-16-2010	N/A	SR	/mnt/tscc/bil022/RenSix/txt/11-16-2010_Sarah_flowcell_61L50AAXX_SR.txt
H9V9NADXX	06-20-2014	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/06-20-2014_HiSeq_ChIP_flowcellA_H9V9NADXX_PE_Rapid.txt
43673AAXX	01-05-2010	N/A	SR	/mnt/tscc/bil022/RenSix/txt/01-05-2010_Peter_flowcell_43673AAXX_SR.txt
H5MLYBBXX	04-18-2016	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/04-18-2016_HiSeq_DIP_flowcellA_H5MLYBBXX_PE.txt
HBEEEADXX	08-12-2015	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/08-12-2015_HiSeq_ChIP_flowcellB_HBEEEADXX_SR_Rapid.txt
HJF7NADXX	03-26-2015	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/03-26-2015_HiSeq_ChIP_flowcellB_HJF7NADXX_SR_Rapid.txt
HCTV5BCXX	09-30-2015	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/09-30-2015_HiSeq_ChIP_flowcellA_HCTV5BCXX_SR_Rapid.txt
HKWFMADXX	05-11-2015	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/05-11-2015_HiSeq_ChIP_flowcellA_HKWFMADXX_PE_Rapid.txt
209T0ABXX	10-27-2010	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/10-27-2010_HiSeq_flowcellB_209T0ABXX_SR.txt
AAAKTFGM5	07-15-2020	NextSeq2000	PE	/mnt/tscc/bil022/RenSix/txt/07-15-2020_NextSeq2000_flowcell_AAAKTFGM5_PE_P2.txt
D04E6ABXX	08-12-2011	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/08-12-2011_HiSeq_flowcellB_D04E6ABXX_PE.txt
D0LLWACXX	02-17-2012	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/02-17-2012_HiSeq_ChIP_flowcellB_D0LLWACXX_PE.txt
C6CF0ACXX	02-03-2015	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/02-03-2015_HiSeq_Fish_flowcellA_C6CF0ACXX_SR.txt
630DFAAXX	01-12-2011	N/A	SR	/mnt/tscc/bil022/RenSix/txt/01-12-2011_Sarah_flowcell_630DFAAXX_SR.txt
HJ3YGBCXX	05-30-2018	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/05-30-2018_HiSeq_ChIP_flowcellB_HJ3YGBCXX_PE_Rapid.txt
	03-09-2020	NextSeq550	PE	/mnt/tscc/bil022/RenSix/txt/03-09-2020_NextSeq550_flowcell_BGXF_PE_HighOutput.txt
H7GYWBBXX	06-03-2016	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/06-03-2016_HiSeq_DIP_flowcellA_H7GYWBBXX_PE.txt
42TMCAAXX	08-27-2009	N/A	SR	/mnt/tscc/bil022/RenSix/txt/08-27-2009_Peter_flowcell_42TMCAAXX_SR.txt
D0JC0ACXX	01-26-2012	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/01-26-2012_HiSeq_ChIP_flowcellA_D0JC0ACXX_SR.txt
HAYEJADXX	10-17-2014	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/10-17-2014_HiSeq_ChIP_flowcellA_HAYEJADXX_PE_Rapid.txt
209NJABXX	08-17-2010	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/08-17-2010_HiSeq_flowcellB_209NJABXX_SR.txt
HFFL3ADXX	02-19-2015	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/02-19-2015_HiSeq_ChIP_flowcellA_HFFL3ADXX_PE_Rapid.txt
D2668ACXX	05-22-2013	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/05-22-2013_HiSeq_Fish_flowcellA_D2668ACXX_SR.txt
43551AAXX	12-17-2009	N/A	SR	/mnt/tscc/bil022/RenSix/txt/12-17-2009_Sarah_flowcell_43551AAXX_SR.txt
811R4AAXX	02-02-2011	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/02-02-2011_HiSeq_flowcellB_811R4AAXX_SR.txt
HG5V7AFX2	08-24-2020	NextSeq550	PE	/mnt/tscc/bil022/RenSix/txt/08-24-2020_NextSeq550_flowcell_HG5V7AFX2_PE_MidOutput.txt
D1BD7ACXX	02-14-2013	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/02-14-2013_HiSeq_Fish_flowcellB_D1BD7ACXX_SR.txt
D0RH9ACXX	02-21-2012	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/02-21-2012_HiSeq_Fish_flowcellA_D0RH9ACXX_PE.txt
D14WEACXX	08-02-2012	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/08-02-2012_HiSeq_ChIP_flowcellB_D14WEACXX_SR.txt
HMYT2BCXX	10-11-2018	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/10-11-2018_HiSeq_ChIP_flowcellB_HMYT2BCXX_PE_Rapid.txt
C03G4ABXX	10-17-2011	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/10-17-2011_HiSeq_flowcellB_C03G4ABXX_PE.txt
C4JR8ACXX	04-17-2014	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/04-17-2014_HiSeq_Fish_flowcellB_C4JR8ACXX_SR.txt
HFTGVADXX	01-30-2015	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/01-30-2015_HiSeq_ChIP_flowcellA_HFTGVADXX_SR_Rapid.txt
HHYLYADXX	03-20-2015	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/03-20-2015_HiSeq_ChIP_flowcellA_HHYLYADXX_SR_Rapid.txt
209VCABXX	08-16-2010	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/08-16-2010_HiSeq_flowcellA_209VCABXX_SR.txt
HFV7MBBXX	11-21-2016	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/11-21-2016_HiSeq_DIP_flowcellA_HFV7MBBXX_PE.txt
HFK7KBBXX	11-08-2016	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/11-08-2016_HiSeq_DIP_flowcellB_HFK7KBBXX_SR.txt
H3NG5BBXX	12-07-2015	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/12-07-2015_HiSeq_Dip_flowcellB_H3NG5BBXX_PE.txt
D1N36ACXX	01-04-2013	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/01-04-2013_HiSeq_ChIP_flowcellA_D1N36ACXX_PE.txt
C16BWACXX	12-07-2012	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/12-07-2012_HiSeq_Chip_flowcellA_C16BWACXX_SR.txt
HWYM3BCXX	08-16-2016	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/08-16-2016_HiSeq_ChIP_flowcellA_HWYM3BCXX_PE_Rapid.txt
H7KC9ADXX	11-14-2013	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/11-14-2013_HiSeq_ChIP_flowcellA_H7KC9ADXX_SR_Rapid.txt
HGGTKBCXX	08-03-2017	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/08-03-2017_HiSeq_ChIP_flowcellA_HGGTKBCXX_SR_Rapid.txt
C6CNTACXX	02-24-2015	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/02-24-2015_HiSeq_Fish_flowcellB_C6CNTACXX_SR.txt
H8TW8ADXX	03-10-2014	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/03-10-2014_HiSeq_ChIP_flowcellA_H8TW8ADXX_PE_Rapid.txt
6319JAAXX	12-17-2011	N/A	SR	/mnt/tscc/bil022/RenSix/txt/12-17-2011_Sarah_flowcell_6319JAAXX_SR.txt
30RPWAAXX	12-23-2008	N/A	SR	/mnt/tscc/bil022/RenSix/txt/12-23-2008_Peter_flowcell_30RPWAAXX_SR.txt
HKL7TBCXX	08-14-2018	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/08-14-2018_HiSeq_ChIP_flowcellB_HKL7TBCXX_PE_Rapid.txt
B06H6ABXX	05-27-2011	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/05-27-2011_HiSeq_flowcellB_B06H6ABXX_SR.txt
HF3WYBCXX	10-08-2015	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/10-08-2015_HiSeq_ChIP_flowcellA_HF3WYBCXX_SR_Rapid.txt
HF3WCBCXX	10-08-2015	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/10-08-2015_HiSeq_ChIP_flowcellB_HF3WCBCXX_SR_Rapid.txt
C75WNACXX	07-24-2015	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/07-24-2015_HiSeq_ChIP_flowcellB_C75WNACXX_SR.txt
H0TC9ACXX	06-18-2013	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/06-18-2013_HiSeq_ChIP_flowcellA_H0TC9ACXX_SR_Rapid.txt
42VJ9AAXX	09-17-2009	N/A	SR	/mnt/tscc/bil022/RenSix/txt/09-17-2009_Peter_flowcell_42VJ9AAXX_SR.txt
H86MFADXX	12-11-2013	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/12-11-2013_HiSeq_ChIP_flowcellB_H86MFADXX_SR_Rapid.txt
61MVWAAXX	05-04-2010	N/A	SR	/mnt/tscc/bil022/RenSix/txt/05-04-2010_Peter_flowcell_61MVWAAXX_SR.txt
H0Y5UADXX	08-13-2013	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/08-13-2013_HiSeq_ChIP_flowcellA_H0Y5UADXX_SR_Rapid.txt
BBXX	01-12-2017	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/01-12-2017_HiSeq_DIP_flowcellA_BBXX_PE.txt
61MVAAAXX	05-15-2010	N/A	SR	/mnt/tscc/bil022/RenSix/txt/05-15-2010_Peter_flowcell_61MVAAAXX_SR.txt
8146UABXX	03-12-2011	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/03-12-2011_HiSeq_flowcellB_8146UABXX_SR.txt
HWC2WBCXX	10-04-2017	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/10-04-2017_HiSeq_ChIP_flowcellB_HWC2WBCXX_PE_Rapid.txt
H2CNGBCXX	06-22-2017	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/06-22-2017_HiSeq_ChIP_flowcellB_H2CNGBCXX_PE_Rapid.txt
HK72GBCXX	06-10-2016	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/06-10-2016_HiSeq_ChIP_flowcellA_HK72GBCXX_PE_Rapid.txt
D10M7ACXX	06-06-2012	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/06-06-2012_HiSeq_Fish_flowcellA_D10M7ACXX_SR.txt
H857EADXX	01-06-2014	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/01-06-2014_HiSeq_ChIP_flowcellA_H857EADXX_PE_Rapid.txt
D19W9ACXX	12-03-2012	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/12-03-2012_HiSeq_Fish_flowcellB_D19W9ACXX_SR.txt
C4Y9UACXX	06-11-2014	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/06-11-2014_HiSeq_Fish_flowcellA_C4Y9UACXX_SR.txt
HFFCKBBXX	07-14-2016	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/07-14-2016_HiSeq_DIP_flowcellA_HFFCKBBXX_PE.txt
HFTH7ADXX	01-21-2015	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/01-21-2015_HiSeq_ChIP_flowcellA_HFTH7ADXX_SR_Rapid.txt
43672AAXX	01-08-2010	N/A	SR	/mnt/tscc/bil022/RenSix/txt/01-08-2010_Sarah_flowcell_43672AAXX_SR.txt
628R8AAXX	08-07-2010	N/A	SR	/mnt/tscc/bil022/RenSix/txt/08-07-2010_Peter_flowcell_628R8AAXX_SR.txt
HFVHYBBXX	11-22-2016	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/11-22-2016_HiSeq_DIP_flowcellB_HFVHYBBXX_PE.txt
HJHWFBCXX	06-19-2018	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/06-19-2018_HiSeq_ChIP_flowcellB_HJHWFBCXX_PE_Rapid.txt
HJM7WBCXX	04-04-2016	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/04-04-2016_HiSeq_ChIP_flowcellA_HJM7WBCXX_PE_Rapid.txt
AAAKTJNM5	07-08-2020	NextSeq2000	PE	/mnt/tscc/bil022/RenSix/txt/07-08-2020_NextSeq2000_flowcell_AAAKTJNM5_PE_P2.txt
D0FJLACXX	01-05-2012	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/01-05-2012_HiSeq_flowcellA_D0FJLACXX_PE_ValidationRun.txt
HYJJNBCXX	08-31-2016	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/08-31-2016_HiSeq_ChIP_flowcellA_HYJJNBCXX_PE_Rapid.txt
ACXX	04-15-2014	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/04-15-2014_HiSeq_Fish_flowcellA_ACXX_PE.txt
639LFAAXX	02-11-2011	N/A	SR	/mnt/tscc/bil022/RenSix/txt/02-11-2011_Sarah_flowcell_639LFAAXX_SR.txt
HHFFKCBX2	08-05-2020	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/08-05-2020_HiSeq_ChIP_flowcellA_HHFFKCBX2_PE_Rapid.txt
H9LEHADXX	09-10-2014	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/09-10-2014_HiSeq_ChIP_flowcellA_H9LEHADXX_SR_Rapid.txt
